,Lat,Lon,MeanDiff,Region,Uni
0,[52.8189952],[-1.03307005],13.041826923076922,East Midlands,0
1,[52.8189952],[-1.03307005],14.216666666666669,East Midlands,1
2,[52.0443714],[0.28881048],12.399242424242427,East of England,0
3,[52.0443714],[0.28881048],18.17142857142857,East of England,1
4,[51.51111988],[-0.13177043],15.159815950920246,London,0
5,[51.51111988],[-0.13177043],8.655555555555557,London,1
6,[-1.],[-1.],12.732000000000001,None,0
7,[-1.],[-1.],11.800000000000002,None,1
8,[54.82625693],[-1.47840356],10.536170212765958,North East,0
9,[54.82625693],[-1.47840356],16.2,North East,1
10,[53.54526751],[-2.54766754],11.448679245283019,North West,0
11,[53.54526751],[-2.54766754],16.080000000000002,North West,1
12,[54.45496612],[-6.24567408],-8.725,Northern Ireland,0
13,[54.45496612],[-6.24567408],0.0,Northern Ireland,1
14,[56.17090113],[-3.54345935],12.38,Scotland,0
15,[56.17090113],[-3.54345935],12.2,Scotland,1
16,[51.29913848],[-0.57986423],12.541720430107526,South East,0
17,[51.29913848],[-0.57986423],14.236363636363636,South East,1
18,[51.18089633],[-2.65482163],14.647540983606557,South West,0
19,[51.18089633],[-2.65482163],15.3125,South West,1
20,[51.96750371],[-3.36907266],9.665909090909093,Wales,0
21,[51.96750371],[-3.36907266],3.7,Wales,1
22,[52.50382935],[-1.93506959],12.637614678899082,West Midlands,0
23,[52.50382935],[-1.93506959],8.133333333333333,West Midlands,1
24,[53.74670854],[-1.38816447],14.44577114427861,Yorkshire and The Humber,0
25,[53.74670854],[-1.38816447],16.3,Yorkshire and The Humber,1
